lineID,NestID,SiteID,ID,Site_ID_Series,Year,Year2,ClutchSize,NumberHatched,Hatch_pro,Hatch_success,Fledge_pro,NumberFledged,Fledge_success,MinDis_Raw,MinDis,Sex,NestStage,AggressionTestDate,MassAvg
1,1,1,1Male,12018,2018,0,2,2,1,1,1,2,1,5,-5,Male,Incubating,6/25/2018,660.5
2,1,1,39E,12018,2018,0,2,2,1,1,1,2,1,5,-5,Female,Incubating,6/25/2018,660.5
3,3,3,24K,32018,2018,0,4,3,1,0.75,0,0,0,7,-7,Female,Laying,6/14/2018,
4,3,3,11A,32018,2018,0,4,3,1,0.75,0,0,0,3,-3,Male,Provisioning,7/19/2018,
5,4,4,4Female,42018,2018,0,1,0,0,0,0,0,0,30,-30,Female,Laying,6/15/2018,
6,4,4,4Male,42018,2018,0,1,0,0,0,0,0,0,167,-167,Male,Laying,6/15/2018,
7,8,8,89E,82018,2018,0,4,2,1,0.5,1,2,1,5,-5,Male,Incubating,6/12/2018,664.5
8,8,8,18K,82018,2018,0,4,2,1,0.5,1,2,1,10,-10,Female,Incubating,6/12/2018,664.5
9,12,12,12Female,122018,2018,0,2,0,0,0,0,0,0,25,-25,Female,Laying,6/11/2018,
10,12,12,12Male,122018,2018,0,2,0,0,0,0,0,0,25,-25,Male,Laying,6/11/2018,
11,18,18,43A,182018,2018,0,4,4,1,1,1,3,0.75,20,-20,Male,Incubating,6/26/2018,625.6666667
12,18,18,88C,182018,2018,0,4,4,1,1,1,3,0.75,5,-5,Female,Incubating,6/26/2018,625.6666667
13,22,22,93E,222018,2018,0,3,3,1,1,1,3,1,40,-40,Female,Laying,6/8/2018,676.6666667
14,22,22,14H,222018,2018,0,3,3,1,1,1,3,1,5,-5,Male,Laying,6/8/2018,676.6666667
15,23,23,23Female,232018,2018,0,3,2,1,0.67,1,1,0.5,30,-30,Female,Laying,6/12/2018,657
16,23,23,23Male,232018,2018,0,3,2,1,0.67,1,1,0.5,15,-15,Male,Laying,6/12/2018,657
17,29,29,55K,292018,2018,0,4,4,1,1,0,0,0,10,-10,Female,Laying,6/8/2018,
18,29,29,41H,292018,2018,0,4,4,1,1,0,0,0,10,-10,Male,Laying,6/8/2018,
19,30,30,30Female,302018,2018,0,3,3,1,1,0,0,0,5,-5,Female,Laying,6/13/2018,
20,30,30,30Male,302018,2018,0,3,3,1,1,0,0,0,50,-50,Male,Laying,6/13/2018,
21,33,33,15C,332018,2018,0,3,2,1,0.67,1,2,1,5,-5,Male,Incubating,6/22/2018,677
22,33,33,49E,332018,2018,0,3,2,1,0.67,1,2,1,15,-15,Female,Incubating,6/22/2018,677
23,40,40,91C,402018,2018,0,4,3,1,0.75,1,1,0.33,20,-20,Female,Laying,6/11/2018,647
24,40,40,40Male,402018,2018,0,4,3,1,0.75,1,1,0.33,30,-30,Male,Laying,6/11/2018,647
25,47,47,47Male,472018,2018,0,3,3,1,1,0,0,0,5,-5,Male,Incubating,6/28/2018,
26,47,47,47Female,472018,2018,0,3,3,1,1,0,0,0,20,-20,Female,Incubating,6/22/2018,
27,51,51,32K,512018,2018,0,4,3,1,0.75,1,1,0.33,300,-300,Female,Incubating,6/18/2018,566
28,53,53,53Female,532018,2018,0,3,3,1,1,0,0,0,20,-20,Female,Laying,6/13/2018,
29,53,53,53Male,532018,2018,0,3,3,1,1,0,0,0,10,-10,Male,Laying,6/13/2018,
30,57,57,45K,572018,2018,0,3,2,1,0.67,1,2,1,20,-20,Female,Laying,6/13/2018,554.5
31,57,57,57Male,572018,2018,0,3,2,1,0.67,1,2,1,300,-300,Male,Laying,6/13/2018,554.5
32,58,58,89C,582018,2018,0,3,0,0,0,0,0,0,15,-15,Female,Laying,6/15/2018,
33,58,58,58Male,582018,2018,0,3,0,0,0,0,0,0,30,-30,Male,Laying,6/15/2018,
34,59,59,87C,592018,2018,0,4,0,0,0,0,0,0,50,-50,Female,Laying,6/10/2018,
35,59,59,59Male,592018,2018,0,4,0,0,0,0,0,0,20,-20,Male,Laying,6/10/2018,
36,74,74,83K,742018,2018,0,4,0,0,0,0,0,0,40,-40,Female,Laying,6/13/2018,
37,74,74,03M,742018,2018,0,4,0,0,0,0,0,0,20,-20,Male,Laying,6/9/2018,
38,75,75,19K,752018,2018,0,4,2,1,0.5,1,1,0.5,15,-15,Female,Laying,6/11/2018,542
39,75,75,92H,752018,2018,0,4,2,1,0.5,1,1,0.5,15,-15,Male,Laying,6/11/2018,542
40,77,77,85C,772018,2018,0,3,3,1,1,1,1,0.33,10,-10,Female,Laying,6/17/2018,813
41,77,77,38A,772018,2018,0,3,3,1,1,1,1,0.33,30,-30,Male,Laying,6/17/2018,813
42,78,78,47E,782018,2018,0,3,2,1,0.67,1,2,1,20,-20,Female,Laying,6/9/2018,785
43,78,78,78Male,782018,2018,0,3,2,1,0.67,1,2,1,20,-20,Male,Laying,6/9/2018,785
44,80,80,80Female,802018,2018,0,4,3,1,0.75,0,0,0,15,-15,Female,Laying,6/12/2018,
45,97,97,97Female,972018,2018,0,4,3,1,0.75,1,2,0.67,15,-15,Female,Laying,6/12/2018,550
46,97,97,97Male,972018,2018,0,4,3,1,0.75,1,2,0.67,5,-5,Male,Laying,6/12/2018,550
47,98,98,98Female,982018,2018,0,3,0,0,0,0,0,0,10,-10,Female,Incubating,6/24/2018,
48,98,98,98Male,982018,2018,0,3,0,0,0,0,0,0,15,-15,Male,Incubating,7/20/2018,
49,119,119,119Female,1192018,2018,0,3,0,0,0,0,0,0,40,-40,Female,Incubating,6/26/2018,
50,119,119,119Male,1192018,2018,0,3,0,0,0,0,0,0,10,-10,Male,Incubating,6/26/2018,
51,145,147,87K,1472018,2018,0,4,2,1,0.5,0,0,0,25,-25,Female,Laying,6/10/2018,
52,145,147,145Male,1472018,2018,0,4,2,1,0.5,0,0,0,0,0,Male,Provisioning,7/17/2018,
53,155,45,155Female,452018,2018,0,3,3,1,1,1,3,1,15,-15,Female,Laying,6/11/2018,682.6666667
54,155,45,155Male,452018,2018,0,3,3,1,1,1,3,1,35,-35,Male,Laying,6/11/2018,682.6666667
55,156,16,156Female,162018,2018,0,1,0,0,0,0,0,0,15,-15,Female,Laying,6/12/2018,
56,156,16,156Male,162018,2018,0,1,0,0,0,0,0,0,20,-20,Male,Laying,6/12/2018,
57,157,1,44H,12018,2018,0,3,1,1,0.33,0,0,0,4,-4,Male,Laying,6/15/2019,
58,157,1,157Female,12019,2019,0,3,1,1,0.33,0,0,0,21,-21,Female,Laying,6/15/2019,
59,160,4,160Male,42019,2019,1,4,4,1,1,0,0,0,100,-100,Male,Incubating,6/28/2019,
60,160,4,86C,42019,2019,1,4,4,1,1,0,0,0,10,-10,Female,Incubating,6/28/2019,
61,164,8,18K,82019,2019,1,3,2,1,0.67,1,2,1,1,-1,Female,Laying,6/24/2019,646.5
62,164,8,01H,82019,2019,1,3,2,1,0.67,1,2,1,1,-1,Male,Laying,6/24/2019,646.5
63,168,12,168Female,122019,2019,1,4,4,1,1,1,1,0.25,10,-10,Female,Laying,6/12/2019,796
64,168,12,168Male,122019,2019,1,4,4,1,1,1,1,0.25,8,-8,Male,Laying,6/12/2019,796
65,175,19,46K,192019,2019,1,3,0,0,0,0,0,0,4,-4,Female,Laying,6/18/2019,
66,175,19,175Male,192019,2019,1,3,0,0,0,0,0,0,70,-70,Male,Laying,6/18/2019,
67,179,23,179Female,232019,2019,1,3,2,1,0.67,0,0,0,1,-1,Female,Laying,6/18/2019,
68,179,23,179Male,232019,2019,1,3,2,1,0.67,0,0,0,10,-10,Male,Laying,6/18/2019,
69,184,28,55K,282019,2019,1,4,0,0,0,0,0,0,22,-22,Female,Laying,6/11/2019,
70,184,28,184Male,282019,2019,1,4,0,0,0,0,0,0,11,-11,Male,Laying,6/11/2019,
71,186,30,186Female,302019,2019,1,4,2,1,0.5,0,0,0,50,-50,Female,Incubating,6/19/2019,
72,189,33,45K,332019,2019,1,4,0,0,0,0,0,0,35,-35,Female,Laying,6/15/2019,
73,189,33,15C,332019,2019,1,4,0,0,0,0,0,0,1,-1,Male,Laying,6/15/2019,
74,193,37,193Male,372019,2019,1,4,4,1,1,0,0,0,25,-25,Male,Incubating,6/18/2019,
75,193,37,88C,372019,2019,1,4,4,1,1,0,0,0,30,-30,Female,Incubating,6/18/2019,
76,195,39,24K,392019,2019,1,4,4,1,1,1,1,0.25,40,-40,Female,Laying,6/12/2019,791
77,195,39,20H,392019,2019,1,4,4,1,1,1,1,0.25,2,-2,Male,Laying,6/12/2019,791
78,196,40,91C,402019,2019,1,4,3,1,0.75,0,0,0,30,-30,Female,Laying,6/20/2019,
79,196,40,196Male,402019,2019,1,4,3,1,0.75,0,0,0,50,-50,Male,Laying,6/20/2019,
80,201,45,201Female,452019,2019,1,3,1,1,0.33,1,1,1,22,-22,Female,Laying,6/12/2019,621
81,201,45,50H,452019,2019,1,3,1,1,0.33,1,1,1,150,-150,Male,Laying,6/20/2019,621
82,208,52,25K,522019,2019,1,4,3,1,0.75,0,0,0,15,-15,Female,Laying,6/19/2019,
83,208,52,89E,522019,2019,1,4,3,1,0.75,0,0,0,45,-45,Male,Laying,6/19/2019,
84,214,58,214Male,582019,2019,1,4,2,1,0.5,0,0,0,20,-20,Male,Incubating,7/7/2019,
85,214,58,89C,582019,2019,1,4,2,1,0.5,0,0,0,60,-60,Female,Incubating,6/21/2019,
86,215,59,215Male,592019,2019,1,4,2,1,0.5,0,0,0,80,-80,Male,Incubating,6/28/2019,
87,215,59,215Female,592019,2019,1,4,2,1,0.5,0,0,0,30,-30,Female,Incubating,6/28/2019,
88,217,61,217Female,612019,2019,1,3,3,1,1,0,0,0,35,-35,Female,Laying,6/19/2019,
89,217,61,217Male,612019,2019,1,3,3,1,1,0,0,0,40,-40,Male,Laying,6/19/2019,
90,219,63,219Female,632019,2019,1,1,0,0,0,0,0,0,50,-50,Female,Incubating,6/18/2019,
91,219,63,219Male,632019,2019,1,1,0,0,0,0,0,0,50,-50,Male,Laying,6/18/2019,
92,223,67,223Female,672019,2019,1,4,-99,-99,-99,0,0,0,75,-75,Female,Incubating,6/22/2019,
93,223,67,223Male,672019,2019,1,4,-99,-99,-99,0,0,0,150,-150,Male,Incubating,6/22/2019,
94,227,71,87K,712019,2019,1,3,0,0,0,0,0,0,60,-60,Female,Laying,6/21/2019,
95,227,71,227Male,712019,2019,1,3,0,0,0,0,0,0,150,-150,Male,Laying,6/21/2019,
96,228,72,228Female,722019,2019,1,3,0,0,0,0,0,0,15,-15,Female,Laying,6/11/2019,
97,228,72,228Male,722019,2019,1,3,0,0,0,0,0,0,8,-8,Male,Laying,6/11/2019,
98,231,75,231Female,752019,2019,1,4,4,1,1,0,0,0,350,-350,Female,Incubating,6/18/2019,
99,231,75,92H,752019,2019,1,4,4,1,1,0,0,0,2,-2,Male,Incubating,6/18/2019,
100,233,77,85C,772019,2019,1,2,0,0,0,0,0,0,600,-600,Female,Laying,6/18/2019,
101,233,77,38A,772019,2019,1,2,0,0,0,0,0,0,20,-20,Male,Laying,6/18/2019,
102,234,78,47E,782019,2019,1,3,0,0,0,0,0,0,50,-50,Female,Incubating,7/15/2019,
103,234,78,234Male,782019,2019,1,3,0,0,0,0,0,0,200,-200,Male,Incubating,7/15/2019,
104,236,80,236Female,802019,2019,1,4,0,0,0,0,0,0,20,-20,Female,Incubating,6/18/2019,
105,241,85,241Female,852019,2019,1,2,0,0,0,0,0,0,15,-15,Female,Laying,6/18/2019,
106,241,85,241Male,852019,2019,1,2,0,0,0,0,0,0,20,-20,Male,Laying,6/18/2019,
107,244,88,244Female,882019,2019,1,4,-99,-99,-99,0,0,0,70,-70,Female,Incubating,6/19/2019,
108,244,88,244Male,882019,2019,1,4,-99,-99,-99,0,0,0,10,-10,Male,Incubating,6/19/2019,
109,251,95,251Female,952019,2019,1,3,3,1,1,0,0,0,70,-70,Female,Laying,6/22/2019,
110,251,95,49H,952019,2019,1,3,3,1,1,0,0,0,300,-300,Male,Laying,6/22/2019,
111,253,97,90C,972019,2019,1,4,0,0,0,0,0,0,30,-30,Female,Incubating,6/17/2019,
112,253,97,253Male,972019,2019,1,4,0,0,0,0,0,0,4,-4,Male,Incubating,6/17/2019,
113,254,98,254Female,982019,2019,1,4,1,1,0.25,0,0,0,10,-10,Female,Incubating,6/23/2019,
114,254,98,254Male,982019,2019,1,4,1,1,0.25,0,0,0,5,-5,Male,Incubating,6/23/2019,
115,256,100,256Female,1002019,2019,1,3,0,0,0,0,0,0,5,-5,Female,Laying,6/21/2019,
116,261,105,32K,1052019,2019,1,4,3,1,0.75,0,0,0,5,-5,Female,Incubating,7/6/2019,
117,261,105,43H,1052019,2019,1,4,3,1,0.75,0,0,0,150,-150,Male,Provisioning,7/16/2019,
118,304,151,304Female,1512019,2019,1,3,3,1,1,1,2,0.67,200,-200,Female,Laying,6/17/2019,686
119,304,151,304Male,1512019,2019,1,3,3,1,1,1,2,0.67,3,-3,Male,Laying,6/17/2019,686
120,318,161,318Female,1612019,2019,1,3,-99,-99,-99,0,0,0,80,-80,Female,Laying,6/26/2019,
121,318,161,318Male,1612019,2019,1,3,-99,-99,-99,0,0,0,15,-15,Male,Laying,6/26/2019,
122,319,162,75B,1622019,2019,1,3,0,0,0,0,0,0,120,-120,Female,Laying,6/28/2019,
123,319,162,319Male,1622019,2019,1,3,0,0,0,0,0,0,30,-30,Male,Laying,6/28/2019,
