lineID,NestID,male_raw,Male,Year,Date,SiteID,NestStage,female_raw,Female
1,75,0.1,-0.1,2018,7/13/2018,75,3Provisioning,5,-5
2,75,0.1,-0.1,2018,7/27/2018,75,3Provisioning,10,-10
3,231,0.1,-0.1,2019,7/21/2019,75,3Provisioning,8,-8
4,145,0.1,-0.1,2018,7/17/2018,147,3Provisioning,10,-10
5,157,1,-1,2019,7/5/2019,1,2Incubating,6,-6
6,164,1,-1,2019,6/24/2019,8,1Laying,1,-1
7,8,1,-1,2018,8/6/2018,8,3Provisioning,15,-15
8,33,1,-1,2018,6/28/2018,33,2Incubating,5,-5
9,33,1,-1,2018,8/15/2018,33,3Provisioning,3,-3
10,189,1,-1,2019,6/15/2019,33,1Laying,35,-35
11,189,1,-1,2019,6/22/2019,33,2Incubating,6,-6
12,189,1,-1,2019,7/6/2019,33,2Incubating,15,-15
13,195,1,-1,2019,7/17/2019,39,3Provisioning,50,-50
14,195,1,-1,2019,8/9/2019,39,3Provisioning,50,-50
15,75,1,-1,2018,7/23/2018,75,3Provisioning,2,-2
16,75,1,-1,2018,8/8/2018,75,3Provisioning,15,-15
17,231,1,-1,2019,7/10/2019,75,2Incubating,17,-17
18,77,1,-1,2018,6/30/2018,77,2Incubating,10,-10
19,251,1,-1,2019,7/21/2019,95,3Provisioning,3,-3
20,304,1,-1,2019,8/14/2019,151,3Provisioning,25,-25
21,1,2,-2,2018,7/20/2018,1,3Provisioning,15,-15
22,33,2,-2,2018,7/14/2018,33,2Incubating,15,-15
23,195,2,-2,2019,6/12/2019,39,1Laying,40,-40
24,195,2,-2,2019,7/26/2019,39,3Provisioning,20,-20
25,47,2,-2,2018,7/25/2018,47,3Provisioning,20,-20
26,75,2,-2,2018,6/30/2018,75,2Incubating,10,-10
27,231,2,-2,2019,6/18/2019,75,2Incubating,350,-350
28,231,2,-2,2019,7/4/2019,75,2Incubating,70,-70
29,77,2,-2,2018,7/13/2018,77,2Incubating,8,-8
30,77,2,-2,2018,7/27/2018,77,3Provisioning,8,-8
31,3,3,-3,2018,7/19/2018,3,3Provisioning,15,-15
32,40,3,-3,2018,8/14/2018,40,3Provisioning,8,-8
33,217,3,-3,2019,7/5/2019,61,2Incubating,7,-7
34,75,3,-3,2018,7/6/2018,75,2Incubating,10,-10
35,77,3,-3,2018,8/15/2018,77,3Provisioning,6,-6
36,244,3,-3,2019,7/5/2019,88,2Incubating,75,-75
37,244,3,-3,2019,7/13/2019,88,2Incubating,13,-13
38,304,3,-3,2019,6/17/2019,151,1Laying,200,-200
39,157,4,-4,2019,6/15/2019,1,1Laying,21,-21
40,253,4,-4,2019,6/17/2019,97,2Incubating,30,-30
41,304,4,-4,2019,7/18/2019,151,2Incubating,75,-75
42,304,4,-4,2019,7/29/2019,151,3Provisioning,20,-20
43,1,5,-5,2018,6/25/2018,1,2Incubating,5,-5
44,157,5,-5,2019,6/28/2019,1,1Laying,120,-120
45,160,5,-5,2019,7/11/2019,4,2Incubating,1,-1
46,160,5,-5,2019,7/19/2019,4,3Provisioning,3,-3
47,8,5,-5,2018,6/12/2018,8,2Incubating,10,-10
48,22,5,-5,2018,6/8/2018,22,1Laying,40,-40
49,33,5,-5,2018,6/22/2018,33,2Incubating,15,-15
50,195,5,-5,2019,6/20/2019,39,2Incubating,60,-60
51,47,5,-5,2018,6/28/2018,47,2Incubating,15,-15
52,47,5,-5,2018,7/14/2018,47,2Incubating,20,-20
53,77,5,-5,2018,7/6/2018,77,2Incubating,10,-10
54,97,5,-5,2018,6/12/2018,97,1Laying,15,-15
55,254,5,-5,2019,6/23/2019,98,2Incubating,10,-10
56,157,6,-6,2019,7/23/2019,1,3Provisioning,150,-150
57,77,7,-7,2018,6/21/2018,77,2Incubating,10,-10
58,254,7,-7,2019,7/22/2019,98,3Provisioning,80,-80
59,1,8,-8,2018,8/2/2018,1,3Provisioning,8,-8
60,1,8,-8,2018,8/13/2018,1,3Provisioning,3,-3
61,168,8,-8,2019,6/12/2019,12,1Laying,10,-10
62,168,8,-8,2019,7/26/2019,12,3Provisioning,13,-13
63,22,8,-8,2018,7/17/2018,22,3Provisioning,10,-10
64,223,8,-8,2019,7/8/2019,67,2Incubating,20,-20
65,228,8,-8,2019,6/11/2019,72,1Laying,15,-15
66,97,8,-8,2018,7/19/2018,97,3Provisioning,15,-15
67,18,10,-10,2018,7/20/2018,18,3Provisioning,3,-3
68,22,10,-10,2018,6/12/2018,22,1Laying,15,-15
69,179,10,-10,2019,6/18/2019,23,1Laying,1,-1
70,29,10,-10,2018,6/8/2018,29,1Laying,10,-10
71,193,10,-10,2019,7/24/2019,37,3Provisioning,5,-5
72,155,10,-10,2018,7/19/2018,45,3Provisioning,10,-10
73,53,10,-10,2018,6/13/2018,53,1Laying,20,-20
74,59,10,-10,2018,6/25/2018,59,2Incubating,20,-20
75,75,10,-10,2018,8/3/2018,75,3Provisioning,20,-20
76,244,10,-10,2019,6/19/2019,88,2Incubating,70,-70
77,119,10,-10,2018,6/26/2018,119,2Incubating,40,-40
78,184,11,-11,2019,6/11/2019,28,1Laying,22,-22
79,168,13,-13,2019,8/9/2019,12,3Provisioning,5,-5
80,157,15,-15,2019,7/14/2019,1,2Incubating,3,-3
81,23,15,-15,2018,6/12/2018,23,1Laying,30,-30
82,184,15,-15,2019,6/18/2019,28,2Incubating,50,-50
83,40,15,-15,2018,6/14/2018,40,1Laying,30,-30
84,155,15,-15,2018,8/6/2018,45,3Provisioning,15,-15
85,53,15,-15,2018,7/19/2018,53,3Provisioning,40,-40
86,57,15,-15,2018,8/13/2018,57,3Provisioning,10,-10
87,58,15,-15,2018,6/27/2018,58,2Incubating,5,-5
88,228,15,-15,2019,6/26/2019,72,1Laying,80,-80
89,75,15,-15,2018,6/11/2018,75,1Laying,15,-15
90,77,15,-15,2018,7/23/2018,77,3Provisioning,1,-1
91,98,15,-15,2018,7/20/2018,98,2Incubating,20,-20
92,318,15,-15,2019,6/26/2019,161,1Laying,80,-80
93,156,20,-20,2018,6/12/2018,16,1Laying,15,-15
94,18,20,-20,2018,6/26/2018,18,2Incubating,5,-5
95,18,20,-20,2018,7/12/2018,18,2Incubating,6,-6
96,29,20,-20,2018,6/12/2018,29,1Laying,30,-30
97,189,20,-20,2019,7/14/2019,33,2Incubating,15,-15
98,214,20,-20,2019,7/7/2019,58,2Incubating,5,-5
99,59,20,-20,2018,6/10/2018,59,1Laying,50,-50
100,215,20,-20,2019,7/11/2019,59,2Incubating,20,-20
101,233,20,-20,2019,6/18/2019,77,1Laying,600,-600
102,78,20,-20,2018,6/9/2018,78,1Laying,20,-20
103,241,20,-20,2019,6/18/2019,85,1Laying,15,-15
104,319,20,-20,2019,7/11/2019,162,2Incubating,20,-20
105,12,25,-25,2018,6/11/2018,12,1Laying,25,-25
106,23,25,-25,2018,7/17/2018,23,3Provisioning,3,-3
107,193,25,-25,2019,6/18/2019,37,2Incubating,30,-30
108,193,25,-25,2019,7/8/2019,37,2Incubating,3,-3
109,57,25,-25,2018,7/25/2018,57,3Provisioning,15,-15
110,57,25,-25,2018,8/1/2018,57,3Provisioning,25,-25
111,23,30,-30,2018,8/7/2018,23,3Provisioning,8,-8
112,193,30,-30,2019,6/22/2019,37,2Incubating,3,-3
113,40,30,-30,2018,6/11/2018,40,1Laying,20,-20
114,57,30,-30,2018,6/28/2018,57,2Incubating,15,-15
115,58,30,-30,2018,6/15/2018,58,1Laying,15,-15
116,214,30,-30,2019,7/19/2019,58,3Provisioning,3,-3
117,77,30,-30,2018,6/17/2018,77,1Laying,10,-10
118,119,30,-30,2018,7/5/2018,119,2Incubating,5,-5
119,319,30,-30,2019,6/28/2019,162,1Laying,120,-120
120,155,35,-35,2018,6/11/2018,45,1Laying,15,-15
121,78,35,-35,2018,7/8/2018,78,2Incubating,12,-12
122,251,35,-35,2019,7/8/2019,95,2Incubating,15,-15
123,217,40,-40,2019,6/19/2019,61,1Laying,35,-35
124,193,45,-45,2019,7/15/2019,37,2Incubating,3,-3
125,208,45,-45,2019,6/19/2019,52,1Laying,15,-15
126,30,50,-50,2018,6/13/2018,30,1Laying,5,-5
127,196,50,-50,2019,6/20/2019,40,1Laying,30,-30
128,78,50,-50,2018,6/18/2018,78,2Incubating,10,-10
129,1,51,-51,2018,7/26/2018,1,3Provisioning,8,-8
130,168,70,-70,2019,7/17/2019,12,3Provisioning,45,-45
131,175,70,-70,2019,6/18/2019,19,1Laying,4,-4
132,168,75,-75,2019,6/20/2019,12,2Incubating,10,-10
133,215,80,-80,2019,6/28/2019,59,2Incubating,30,-30
134,160,100,-100,2019,6/28/2019,4,2Incubating,10,-10
135,215,100,-100,2019,7/19/2019,59,3Provisioning,10,-10
136,201,150,-150,2019,6/20/2019,45,1Laying,10,-10
137,223,150,-150,2019,6/22/2019,67,2Incubating,75,-75
138,227,150,-150,2019,6/21/2019,71,1Laying,60,-60
139,261,150,-150,2019,7/16/2019,105,3Provisioning,25,-25
140,4,167,-167,2018,6/15/2018,4,1Laying,30,-30
141,164,200,-200,2019,8/14/2019,8,3Provisioning,7,-7
142,201,200,-200,2019,7/17/2019,45,2Incubating,35,-35
143,208,200,-200,2019,7/18/2019,52,3Provisioning,4,-4
144,234,200,-200,2019,7/15/2019,78,2Incubating,50,-50
145,57,300,-300,2018,6/13/2018,57,1Laying,20,-20
146,251,300,-300,2019,6/22/2019,95,1Laying,70,-70
