NestID,siteID,year,date,FID,dives,minDis,score,sex,present
1,1,2018,6/25/2018,100,10,5,4,Male,2
1,1,2018,8/2/2018,100,12,8,4,Male,2
1,1,2018,8/2/2018,100,0,8,3,Female,2
1,1,2018,7/26/2018,150,21,51,4,Male,2
1,1,2018,7/26/2018,200,16,8,4,Female,2
1,1,2018,7/5/2018,35,0,15,3,Female,2
1,1,2018,6/25/2018,100,5,5,4,Female,2
1,1,2018,7/20/2018,220,0,15,3,Female,2
1,1,2018,7/20/2018,220,9,2,5,Male,2
1,1,2018,8/13/2018,275,9,3,5,Female,2
1,1,2018,8/13/2018,85,5,8,4,Male,2
1,1,2018,7/12/2018,152,14,8,4,Female,1
3,3,2018,6/14/2018,50,7,7,4,Female,1
3,3,2018,7/19/2018,10,0,15,3,Female,2
4,4,2018,6/15/2018,63,0,30,3,Female,2
4,4,2018,6/15/2018,153,0,167,1,Male,2
8,8,2018,8/10/2018,70,5,1,5,Female,1
8,8,2018,6/12/2018,147,5,5,5,Male,2
8,8,2018,7/19/2018,30,16,3,4,Female,1
12,12,2018,6/11/2018,83,0,25,3,Male,2
12,12,2018,6/11/2018,82,1,25,4,Female,2
18,18,2018,7/20/2018,128,8,10,4,Male,2
18,18,2018,6/26/2018,20,14,5,4,Female,2
18,18,2018,6/26/2018,75,1,20,4,Male,2
18,18,2018,7/20/2018,128,10,3,5,Female,2
18,18,2018,7/26/2018,150,10,8,4,Female,1
18,18,2018,7/5/2018,150,5,5,4,Female,1
18,18,2018,8/9/2018,220,11,1,5,Female,2
18,18,2018,7/12/2018,370,5,6,4,Female,2
22,22,2018,6/8/2018,323,5,5,4,Male,2
22,22,2018,6/8/2018,220,0,40,2,Female,2
22,22,2018,7/17/2018,175,0,8,3,Male,2
22,22,2018,7/24/2018,50,18,3,4,Female,1
22,22,2018,7/17/2018,175,0,10,3,Female,2
23,23,2018,8/7/2018,80,0,8,3,Female,2
23,23,2018,7/17/2018,200,2,3,4,Female,2
23,23,2018,8/7/2018,80,0,30,3,Male,2
23,23,2018,7/24/2018,120,8,6,4,Female,1
29,29,2018,7/24/2018,80,0,10,3,Female,1
29,29,2018,6/8/2018,112,5,10,4,Male,2
29,29,2018,7/17/2018,70,0,23,3,Female,1
29,29,2018,6/8/2018,76,0,10,3,Female,2
29,29,2018,6/12/2018,171,0,30,3,Female,2
29,29,2018,6/12/2018,161,1,20,4,Male,2
30,30,2018,6/13/2018,109,0,50,3,Male,2
30,30,2018,6/13/2018,86,6,5,4,Female,2
33,33,2018,8/1/2018,15,0,5,3,Female,2
33,33,2018,7/14/2018,50,0,15,3,Female,2
33,33,2018,7/9/2018,5,0,6,3,Female,1
33,33,2018,7/14/2018,20,7,2,5,Male,2
33,33,2018,6/28/2018,15,19,5,4,Female,2
33,33,2018,7/25/2018,15,0,5,3,Female,1
40,40,2018,8/6/2018,200,0,15,3,Female,1
40,40,2018,8/14/2018,50,9,8,4,Female,2
40,40,2018,6/14/2018,100,0,30,3,Female,2
40,40,2018,6/14/2018,100,21,15,4,Male,2
40,40,2018,8/14/2018,30,20,3,5,Male,2
47,47,2018,7/14/2018,170,11,5,4,Male,2
47,47,2018,6/28/2018,10,15,5,4,Male,2
47,47,2018,6/28/2018,120,4,15,4,Female,2
47,47,2018,7/25/2018,220,0,20,3,Female,2
47,47,2018,7/25/2018,220,14,2,4,Male,2
47,47,2018,7/14/2018,170,0,20,3,Female,2
47,47,2018,7/7/2018,150,8,15,4,Female,1
47,47,2018,7/31/2018,133,0,25,3,Female,1
47,47,2018,6/22/2018,10,0,20,3,Female,1
51,51,2018,7/31/2018,172,0,15,3,Female,1
51,51,2018,6/18/2018,15,0,300,2,Female,1
51,51,2018,7/8/2018,34,0,20,3,Female,0
51,51,2018,8/10/2018,80,0,10,3,Female,2
53,53,2018,7/19/2018,150,0,40,3,Female,2
53,53,2018,7/19/2018,70,13,15,4,Male,2
53,53,2018,6/13/2018,70,0,20,3,Female,2
53,53,2018,6/13/2018,70,12,10,4,Male,2
57,57,2018,7/14/2018,2,0,15,3,Female,1
57,57,2018,7/25/2018,30,0,25,3,Male,2
57,57,2018,8/1/2018,40,0,25,3,Male,2
57,57,2018,8/1/2018,70,0,25,3,Female,2
57,57,2018,8/13/2018,220,0,10,3,Female,2
57,57,2018,7/25/2018,30,0,15,3,Female,2
57,57,2018,6/28/2018,15,1,15,4,Female,2
57,57,2018,6/13/2018,80,0,20,3,Female,2
57,57,2018,6/13/2018,80,0,300,1,Male,2
57,57,2018,6/28/2018,60,0,30,3,Male,2
58,58,2018,6/15/2018,100,0,15,3,Female,2
58,58,2018,6/27/2018,50,3,15,4,Male,2
58,58,2018,7/20/2018,80,6,25,4,Female,2
58,58,2018,7/26/2018,50,0,30,3,Female,1
58,58,2018,6/15/2018,80,0,30,3,Male,2
58,58,2018,6/27/2018,100,20,5,4,Female,2
59,59,2018,6/10/2018,63,0,50,3,Female,2
59,59,2018,6/10/2018,63,3,20,4,Male,2
59,59,2018,6/25/2018,20,0,20,3,Female,2
74,74,2018,6/13/2018,15,0,40,3,Female,1
74,74,2018,6/9/2018,50,0,40,3,Female,2
74,74,2018,6/9/2018,50,1,20,4,Male,2
75,75,2018,7/23/2018,380,20,1,5,Male,2
75,75,2018,7/23/2018,200,17,2,5,Female,2
75,75,2018,7/27/2018,100,8,10,4,Female,2
75,75,2018,7/27/2018,80,9,0,5,Male,2
75,75,2018,7/6/2018,200,23,3,4,Male,2
75,75,2018,6/21/2018,20,7,6,4,Female,1
75,75,2018,7/13/2018,172,15,0,5,Male,2
75,75,2018,7/13/2018,172,4,5,4,Female,2
75,75,2018,6/11/2018,23,0,15,3,Female,2
75,75,2018,8/8/2018,120,16,1,5,Male,2
75,75,2018,8/3/2018,150,0,20,3,Female,2
75,75,2018,7/6/2018,25,1,10,4,Female,2
75,75,2018,8/3/2018,150,2,10,4,Male,2
75,75,2018,8/8/2018,120,0,15,3,Female,2
77,77,2018,7/23/2018,70,16,1,5,Female,2
77,77,2018,7/23/2018,270,6,15,4,Male,2
77,77,2018,8/9/2018,20,14,1,5,Female,1
77,77,2018,6/17/2018,200,9,10,4,Female,2
77,77,2018,8/15/2018,80,11,6,4,Female,2
77,77,2018,8/15/2018,325,9,3,4,Male,2
77,77,2018,7/27/2018,40,14,8,4,Female,2
77,77,2018,7/27/2018,200,2,2,5,Male,2
77,77,2018,8/4/2018,40,0,8,3,Female,2
77,77,2018,8/3/2018,200,0,15,3,Male,2
77,77,2018,6/21/2018,15,6,10,4,Female,2
77,77,2018,6/30/2018,40,5,10,4,Female,2
77,77,2018,7/13/2018,40,8,8,4,Female,2
77,77,2018,7/13/2018,23,4,2,4,Male,2
77,77,2018,7/6/2018,4,7,10,4,Female,2
77,77,2018,7/6/2018,200,6,5,4,Male,2
77,77,2018,6/30/2018,40,4,1,5,Male,2
78,78,2018,6/9/2018,45,0,20,3,Male,2
78,78,2018,6/9/2018,45,2,20,4,Female,2
78,78,2018,8/9/2018,70,0,100,2,Female,1
78,78,2018,7/14/2018,30,0,25,3,Female,1
78,78,2018,7/8/2018,10,2,12,4,Female,2
78,78,2018,7/24/2018,70,0,10,3,Female,1
78,78,2018,8/5/2018,205,0,20,3,Female,1
80,80,2018,6/12/2018,74,1,15,4,Female,1
80,80,2018,7/17/2018,80,0,10,3,Female,1
80,80,2018,7/24/2018,10,6,8,4,Female,1
97,97,2018,8/10/2018,70,0,15,3,Female,1
97,97,2018,7/19/2018,70,0,15,3,Female,2
97,97,2018,7/19/2018,320,15,8,4,Male,2
97,97,2018,8/6/2018,100,0,20,3,Female,1
98,98,2018,6/24/2018,75,7,10,4,Female,1
98,98,2018,7/20/2018,220,0,15,3,Male,2
98,98,2018,7/20/2018,220,0,20,3,Female,2
119,119,2018,6/26/2018,20,3,10,4,Male,2
119,119,2018,7/5/2018,10,10,5,4,Female,2
119,119,2018,6/26/2018,70,0,40,3,Female,2
119,119,2018,7/5/2018,75,0,30,3,Male,2
145,147,2018,7/17/2018,280,15,0,5,Male,2
145,147,2018,7/17/2018,280,0,10,3,Female,2
155,45,2018,7/19/2018,40,0,10,3,Male,2
155,45,2018,8/14/2018,25,1,7,4,Female,1
155,45,2018,7/19/2018,40,0,10,3,Female,2
155,45,2018,6/11/2018,74,0,15,3,Female,2
155,45,2018,8/6/2018,80,0,15,3,Female,2
156,16,2018,6/12/2018,121,0,15,3,Female,2
156,16,2018,6/12/2018,121,3,20,4,Male,2
157,1,2019,6/15/2019,70,11,4,4,Male,2
157,1,2019,6/15/2019,60,0,21,3,Female,2
157,1,2019,7/5/2019,60,6,1,5,Male,2
157,1,2019,6/28/2019,15,9,5,5,Male,2
157,1,2019,7/26/2019,130,0,5,3,Female,1
157,1,2019,7/23/2019,70,0,150,3,Female,2
157,1,2019,7/14/2019,15,0,15,3,Male,2
157,1,2019,7/5/2019,60,9,6,5,Female,2
157,1,2019,7/23/2019,300,9,6,4,Male,2
157,1,2019,7/14/2019,15,5,3,5,Female,2
157,1,2019,6/28/2019,15,0,120,3,Female,2
160,4,2019,7/19/2019,60,7,3,4,Female,2
160,4,2019,7/11/2019,120,8,5,5,Male,2
160,4,2019,7/19/2019,5,12,5,4,Male,2
160,4,2019,7/11/2019,20,21,1,5,Female,2
160,4,2019,6/28/2019,150,2,100,4,Male,2
160,4,2019,6/28/2019,50,13,10,4,Female,2
164,8,2019,8/14/2019,70,0,200,1,Male,2
164,8,2019,8/14/2019,70,0,7,3,Female,2
164,8,2019,7/29/2019,65,0,10,3,Female,1
164,8,2019,7/18/2019,10,0,8,3,Female,1
164,8,2019,6/24/2019,120,4,1,5,Female,2
164,8,2019,6/24/2019,120,4,1,5,Male,2
164,8,2019,8/18/2019,30,6,5,4,Female,1
168,12,2019,6/20/2019,150,7,75,4,Male,2
168,12,2019,8/9/2019,300,9,13,4,Male,More than 2
168,12,2019,6/12/2019,65,5,8,4,Male,2
168,12,2019,6/12/2019,50,2,10,4,Female,2
168,12,2019,7/17/2019,150,1,45,4,Female,2
168,12,2019,7/17/2019,150,1,70,4,Male,2
168,12,2019,7/26/2019,116,0,13,3,Female,2
168,12,2019,7/26/2019,116,0,8,3,Male,2
168,12,2019,8/16/2019,20,5,6,4,Female,1
168,12,2019,8/9/2019,430,12,5,5,Female,More than 2
168,12,2019,6/20/2019,95,20,10,5,Female,2
175,19,2019,6/18/2019,96,15,4,5,Female,2
175,19,2019,6/18/2019,212,2,70,4,Male,2
179,23,2019,6/18/2019,195,6,1,5,Female,2
179,23,2019,7/22/2019,15,0,20,2,Female,1
184,28,2019,6/11/2019,50,0,22,3,Female,2
184,28,2019,6/11/2019,80,8,11,4,Male,2
184,28,2019,6/18/2019,90,0,50,3,Female,2
186,30,2019,7/25/2019,15,0,35,3,Female,1
186,30,2019,6/19/2019,150,0,50,3,Female,1
189,33,2019,6/22/2019,12,8,1,5,Male,2
189,33,2019,6/15/2019,20,0,35,3,Female,2
189,33,2019,6/22/2019,20,3,6,4,Female,2
189,33,2019,6/15/2019,20,18,1,5,Male,2
189,33,2019,7/14/2019,50,0,20,3,Male,2
189,33,2019,7/14/2019,50,0,15,3,Female,2
189,33,2019,7/6/2019,70,3,1,5,Male,2
189,33,2019,7/6/2019,30,0,15,3,Female,2
193,37,2019,6/22/2019,8,17,3,5,Female,2
193,37,2019,7/24/2019,60,12,5,5,Female,2
193,37,2019,6/18/2019,10,1,30,4,Female,2
193,37,2019,7/15/2019,350,1,45,4,Male,2
193,37,2019,7/15/2019,10,17,3,5,Female,2
193,37,2019,7/8/2019,2,0,25,3,Male,More than 2
193,37,2019,6/18/2019,50,1,25,4,Male,2
193,37,2019,7/23/2019,2,8,5,5,Female,1
195,39,2019,7/17/2019,30,0,50,3,Female,2
195,39,2019,6/20/2019,75,0,60,3,Female,2
195,39,2019,6/20/2019,150,9,5,5,Male,2
195,39,2019,6/24/2019,90,9,6,4,Male,1
195,39,2019,7/17/2019,30,15,1,5,Male,2
195,39,2019,8/9/2019,200,1,50,4,Female,2
195,39,2019,7/26/2019,80,0,20,3,Female,2
195,39,2019,6/12/2019,60,0,40,3,Female,2
195,39,2019,7/26/2019,80,4,2,5,Male,2
195,39,2019,6/12/2019,80,8,2,5,Male,2
195,39,2019,8/16/2019,100,8,0,5,Male,1
195,39,2019,8/9/2019,200,14,1,5,Male,2
196,40,2019,6/20/2019,100,0,30,3,Female,2
196,40,2019,6/20/2019,300,15,50,4,Male,2
196,40,2019,7/26/2019,18,0,15,3,Female,1
196,40,2019,7/17/2019,20,7,10,4,Female,1
201,45,2019,7/17/2019,60,0,200,1,Male,2
201,45,2019,6/12/2019,45,0,22,3,Female,1
201,45,2019,6/20/2019,350,5,150,4,Male,2
201,45,2019,6/20/2019,50,14,10,5,Female,2
201,45,2019,8/9/2019,300,8,5,4,Female,2
201,45,2019,7/17/2019,20,13,35,4,Female,2
201,45,2019,7/26/2019,130,0,15,3,Female,1
208,52,2019,6/19/2019,100,1,45,4,Male,2
208,52,2019,7/18/2019,30,0,4,3,Female,2
208,52,2019,7/18/2019,30,0,200,1,Male,2
208,52,2019,6/19/2019,100,3,15,4,Female,2
214,58,2019,7/19/2019,10,18,30,4,Male,2
214,58,2019,7/7/2019,75,8,5,4,Female,More than 2
214,58,2019,7/19/2019,100,12,3,4,Female,2
214,58,2019,6/21/2019,500,4,60,4,Female,1
214,58,2019,7/7/2019,75,7,20,4,Male,More than 2
215,59,2019,7/19/2019,3,10,10,4,Female,2
215,59,2019,7/11/2019,6,0,20,3,Female,2
215,59,2019,7/11/2019,6,0,20,3,Male,2
215,59,2019,6/28/2019,5,10,30,4,Female,More than 2
217,61,2019,7/31/2019,5,12,3,5,Female,1
217,61,2019,7/5/2019,5,11,3,5,Male,2
217,61,2019,7/23/2019,10,0,13,3,Female,1
217,61,2019,6/19/2019,250,15,35,4,Female,2
217,61,2019,6/19/2019,250,18,40,4,Male,2
217,61,2019,7/14/2019,10,12,6,4,Female,1
219,63,2019,6/18/2019,300,0,50,3,Female,2
219,63,2019,6/18/2019,300,0,50,3,Male,2
223,67,2019,6/22/2019,50,4,75,4,Female,2
223,67,2019,7/8/2019,40,12,8,4,Male,2
223,67,2019,7/8/2019,40,0,20,4,Female,2
227,71,2019,6/21/2019,10,4,60,4,Female,2
228,72,2019,6/11/2019,54,5,8,4,Male,2
228,72,2019,6/26/2019,75,9,15,4,Male,2
228,72,2019,6/11/2019,40,0,15,3,Female,2
228,72,2019,6/18/2019,6,10,7,4,Female,2
228,72,2019,6/26/2019,5,0,80,3,Female,2
231,75,2019,7/4/2019,300,3,70,4,Female,2
231,75,2019,7/21/2019,300,0,8,3,Female,2
231,75,2019,7/21/2019,300,21,0,5,Male,2
231,75,2019,7/10/2019,250,16,1,5,Male,More than 2
231,75,2019,7/10/2019,250,0,17,3,Female,More than 2
231,75,2019,7/4/2019,200,26,2,5,Male,2
231,75,2019,6/18/2019,150,0,350,3,Female,2
231,75,2019,6/18/2019,75,25,2,5,Male,2
233,77,2019,6/18/2019,20,0,600,2,Female,2
233,77,2019,6/18/2019,20,1,20,4,Male,2
234,78,2019,7/24/2019,8,0,75,3,Female,1
234,78,2019,7/15/2019,50,0,50,3,Female,2
234,78,2019,7/15/2019,50,0,200,3,Male,2
236,80,2019,6/18/2019,110,2,20,4,Female,1
241,85,2019,6/18/2019,500,3,20,4,Male,2
241,85,2019,6/18/2019,500,8,15,4,Female,2
244,88,2019,7/13/2019,15,0,13,3,Female,2
244,88,2019,7/5/2019,100,1,75,4,Female,2
244,88,2019,6/19/2019,10,3,70,4,Female,2
244,88,2019,7/5/2019,100,20,3,5,Male,2
251,95,2019,6/22/2019,80,3,70,4,Female,2
251,95,2019,7/8/2019,60,10,15,4,Female,2
251,95,2019,7/8/2019,60,6,35,4,Male,2
251,95,2019,7/21/2019,75,6,3,4,Female,2
251,95,2019,7/21/2019,100,14,1,5,Male,2
253,97,2019,6/17/2019,150,2,4,5,Male,2
253,97,2019,6/17/2019,125,0,30,3,Female,2
254,98,2019,7/22/2019,50,0,80,3,Female,2
254,98,2019,7/22/2019,250,14,7,4,Male,2
254,98,2019,7/10/2019,125,13,7,4,Female,1
254,98,2019,6/23/2019,150,17,5,5,Male,2
254,98,2019,6/23/2019,150,7,10,4,Female,2
256,100,2019,6/21/2019,3,18,5,5,Female,1
261,105,2019,7/16/2019,8,0,25,2,Female,2
261,105,2019,7/6/2019,15,4,5,4,Female,1
261,105,2019,8/1/2019,10,5,25,4,Female,1
261,105,2019,7/16/2019,8,0,150,1,Male,2
304,151,2019,7/29/2019,150,0,20,3,Female,2
304,151,2019,7/18/2019,60,7,4,5,Male,2
304,151,2019,7/18/2019,60,0,75,3,Female,2
304,151,2019,8/14/2019,175,5,25,4,Female,2
304,151,2019,8/14/2019,175,14,1,5,Male,2
304,151,2019,6/17/2019,100,16,3,5,Male,2
304,151,2019,6/17/2019,200,0,200,3,Female,2
304,151,2019,7/29/2019,150,24,4,5,Male,2
318,161,2019,6/26/2019,300,0,80,3,Female,2
318,161,2019,6/26/2019,300,15,15,4,Male,2
319,162,2019,6/28/2019,200,0,120,3,Female,2
319,162,2019,6/28/2019,150,16,30,4,Male,2
319,162,2019,7/11/2019,70,0,20,3,Male,2
319,162,2019,7/11/2019,70,0,20,3,Female,2
